hi,en
"अल्लाह कसम salman khan अगर but नई आप ने हम से तो आज के बाद में खूबी आपकी एक film भी नई देखूंगा आते कि नै हो
","swaer to god salman khan if you do not talk to us then after today I will never see even one of your films why don't you come
"
"help कर दो मेरी pulses भाई
","Please help me , bro .
"
"please answers मिलें तो भेज देना .
","Please send the answer if you get them .
"
"I love love u love u love u love u so match salman khan एक बार मुझे आपको i love you face तो पैक कहना है
","I love love u love u love u love u so mach salman khan just once i want to say i love you face to face to you
"
"Salman भाईजान . . मेरे बड़े भाई .. मुझे आपसे अच्छा कोई नहीं लगता . .. मैं आपको अपना बड़ा भाई मानता हूँ ...
","Salman brother . . My big brother .. I dont like anyone more than you . .. I consider you as my big brother ...
"
"तो sisters और brothers बहुत प्यार करते ?
","Do your sisters and brothers love each other ?
"
"आप को letter भी लिखे हैं शायद आप तक पहुँच जाये ...
","I have also written letters to you ... hopefully they reach you
"
"भाई भाई somabhai bohemia ,
","brother brother somabhai bohemia
"
"हाँ दीदी
","Yes sister
"
"उसका suit ले कर जाना है तो
","have to take her suit
"
"Ã - नलीन हुया नहीं
","It's not online yet .
"
"वैसे could you brief me the purpose
","By the way could you brief me the purpose .
"
"he said की इसलिए उसने सारे formal mails में 1 month बोल
","He said thats why he said 1 month in all the formal mails
"
"I cant reveal की किस बारे में है , i might end up describing the movie :P
","I cant reveal What its about , i might end up describing the movie : P
"
"भाई आप का है
","Bro , where are you ?
"
"अब eid celebrate करता हुआ किया रमज़ान का रोज़ा भी रखता है.क्यों के eid का मजा तब ही आता है जब रमज़ान के रोज़े रखो .
","Do you even celebrate eid and fast for ramzan , because eid is fun only if you keep the fast for ramzan .
"
"SK भाई आप शादी कब करोगे मुझे आप की सन को देखना है
","SK brother , when are you going to get married , i want to see your son .
"
"बस refresh करते जा रहा हूँ reply नहीं आ रहा भाई का
","I'm refreshing continuously but Bhai is not replying
"
"Salman भाई कहाँ हो आप
","salman brother where are you
"
"Modhiji से India की जनता को जो उम्मीदे थी वह अभी तक जहाँ की तहाँ है कुछ एसा strong करे जो आनेवाले समय में भी बन रहे क्योकि समय अब कम ही
","the country's hopes for modhiji are still there as they were , do something strong so that in the coming time that hope is maintained because less time is left now .
"
"बापू जी निर्दोष हैं औको जल्दी बाहर लाओ
","bapu g is innocent , auko get out fast
"
"भाई धक्का न दें
","Bhai dont ditch us
"
"live you sir . वाह sir क्या बात है . lovely voice . superb idea .
","Love you sir . Awesome sir , that's nice . Lovely voice . Superb idea .
"
"पर हम कैसे आप सही बात कर सकते हैं please tell me please ? z ? z ? zz
","how can we talk to you plz tell me plzzz ? z ? zzz ? zz
"
"Salman आ इंतज़ार इधर ? तेरे लिए ?
","Salmannn , we are waiting here for you
"
"चलरे साले तेरीशी कौन बात करेगा तो कौन है
","go sale who will talk to you who are you
"
"भाईजान एक ही हैं ... SALMAN ...
","There is only one brother . Salman .
"
"अभी भाई sarfaraz त है धोका ने दायेगा .
","hey brother is sarfaraz he wont betray us
"
"जय हिंद मेरा bharat मेरा हिन्दुस्तान
","jai hind my bharat my hindusthan
"
"#Sallu_bhai मेरे को personally message कर दो एक बार ... भाई #kuchh_khas है आप के लिए , व्हाटसप्प 8083503086
","Sallu bro , please message me once personally . Bro , I have something special for you . WhatsApp 8083503086
"
"salman sir सारा दिन गुजर गया आप आ ही नहीं :(
","salman sir the whole day has gone by you did not come :(
"
"साले काफ़िर सलाम मत कर ... नमस्ते कर
","you traier dont do salute do namaste
"
